model_name,video,batch_size,total_frames,gpu_compute_sec,throughput_fps,peak_gpu_gb,end_to_end_sec,rtf
dinov3_l,1814_av54fv6tckm63.mp4,16,70,1.4,50.0,1.28,2.8,0.2001
dinov3_l,1816_alz6d3trmjh1f.mp4,16,130,2.63,49.3,1.28,5.42,0.2085
dinov3_l,1820_ael7opmmp0ezm.mp4,16,130,2.64,49.3,1.28,5.52,0.2124
dinov3_l,1821_ah8wqifyc7s7d.mp4,16,130,2.59,50.1,1.28,5.28,0.2031
dinov3_l,1821_ao2jhrnswzje2.mp4,16,130,2.59,50.2,1.28,5.36,0.206
dinov3_l,1824_afa2wdtd53ahi.mp4,16,90,1.81,49.9,1.28,3.67,0.2041
dinov3_l,1825_aq5qrn71iw73p.mp4,16,130,2.65,49.1,1.28,5.51,0.2121
dinov3_l,1827_aa7wtwlt86673.mp4,16,80,1.61,49.6,1.28,3.28,0.2052
dinov3_l,1828_a26iqyq2waby.mp4,16,70,1.38,50.6,1.28,2.84,0.2025
dinov3_l,1828_au2jjiwhmjens.mp4,16,80,1.61,49.7,1.28,3.24,0.2025
dinov3_l,1834_aay0k1q8v5s01.mp4,16,130,2.61,49.9,1.28,5.28,0.2029
dinov3_l,1834_amoai9g7gbzs3.mp4,16,130,2.63,49.4,1.28,5.45,0.2096
dinov3_l,1835_anj80kv40owyo.mp4,16,130,2.63,49.4,1.28,5.46,0.21
dinov3_l,1837_a2um6evj88fh8.mp4,16,130,2.59,50.1,1.28,5.28,0.2029
dinov3_l,1837_agt9x37n1f90h.mp4,16,130,2.59,50.1,1.28,5.36,0.2062
dinov3_l,1841_ayy2uastrcl7t.mp4,16,130,2.61,49.9,1.28,5.43,0.2087
dinov3_l,1845_a6p35pr2oc066.mp4,16,130,2.63,49.4,1.28,5.41,0.208
dinov3_l,1845_aa29zru0nnbn.mp4,16,130,2.59,50.3,1.28,5.39,0.2072
dinov3_l,1845_alj72ynli7zbn.mp4,16,130,2.62,49.6,1.28,5.4,0.2075
dinov3_l,1852_atd9dn01lvo9n.mp4,16,130,2.63,49.4,1.28,5.51,0.212
dinov3_l,1856_a8z50y7ju8px1.mp4,16,130,2.64,49.3,1.28,5.44,0.2091
dinov3_l,1857_aype9qmi4rcsw.mp4,16,120,2.39,50.2,1.28,4.82,0.2006
dinov3_l,1858_akkzn5c9u4u1b.mp4,16,141,2.82,50.0,1.28,5.87,0.2093
dinov3_l,1860_aulxie7iwovjc.mp4,16,130,2.63,49.4,1.28,5.48,0.2108
dinov3_l,1862_a8rmubj0ok7zm.mp4,16,80,1.63,49.2,1.28,3.29,0.2057
dinov3_l,1869_axm8qltwbgtc7.mp4,16,80,1.61,49.6,1.28,3.3,0.206
dinov3_l,1871_aieelpjpc384t.mp4,16,140,2.77,50.6,1.28,5.59,0.1998
dinov3_l,1874_a5gpk57914y6i.mp4,16,130,2.59,50.3,1.28,5.31,0.2044
dinov3_l,1875_ajbz8ndcnzars.mp4,16,130,2.61,49.8,1.28,5.41,0.2082
dinov3_l,1877_aey3e3ta279ce.mp4,16,130,2.63,49.4,1.28,5.46,0.2102
